TransactionAmount,TransactionType,MerchantCategory,Location,DeviceType,SpendingDeviationScore,VelocityScore,GeoAnomalyScore,PaymentChannel
117.37,1,7,0,3,1.71,4,0.51,0
261.73,3,3,3,2,0.9,8,0.97,3
28.66,2,3,4,0,-1.04,6,0.82,1
591.25,0,1,2,3,-0.02,15,0.91,3
44.59,1,4,0,2,-0.17,4,0.84,2
294.5,3,3,4,1,0.17,1,0.26,2
67.03,1,6,2,2,-0.88,5,0.29,2
603.02,0,5,1,2,-0.96,13,0.98,2
23.32,2,0,3,0,0.24,15,0.98,3
24.43,3,5,7,0,-0.57,18,0.47,1
12.51,2,2,1,2,-0.34,16,0.37,1
19.81,2,6,2,0,0.55,10,0.45,3
40.97,2,5,2,2,-1.66,6,0.95,3
83.44,1,5,6,2,-0.14,12,0.44,3
250.97,3,3,1,1,0.24,7,1.0,3
35.67,1,6,7,0,-1.54,18,0.54,2
489.36,3,3,3,0,-2.8,5,0.61,3
390.9,0,0,7,1,0.58,15,0.68,1
244.53,3,1,6,3,0.66,17,0.89,3
100.9,3,0,6,0,-0.28,1,0.08,2
42.91,2,3,0,2,-1.46,6,0.44,3
24.58,2,2,6,0,0.44,11,0.24,2
86.85,1,7,6,0,0.22,17,0.47,3
16.72,2,5,3,0,0.55,20,0.88,1
385.5,1,4,3,2,-0.59,18,0.29,2
11.22,2,4,6,3,-0.28,17,0.04,1
36.85,2,4,6,2,-0.99,17,0.53,3
744.85,0,3,5,3,-0.66,19,0.48,2
511.61,3,2,0,2,1.14,2,0.71,1
8.19,2,1,4,3,-1.17,9,0.56,0
67.09,2,1,2,2,1.04,5,0.29,1
21.22,2,1,6,1,-2.26,8,0.05,0
234.08,3,5,6,2,-0.66,10,0.32,1
57.55,1,3,6,0,0.09,1,0.3,2
124.67,1,1,0,1,0.58,9,0.72,3
23.16,1,4,2,2,0.94,6,0.98,2
10.01,2,1,3,0,-0.13,4,0.47,3
30.74,1,0,4,0,-0.34,18,0.91,1
1090.94,0,7,6,3,0.66,7,0.72,3
1400.85,0,3,5,1,-0.86,9,0.82,1
19.44,1,5,5,2,0.2,14,0.37,0
15.08,2,6,6,2,-1.69,8,0.83,0
20.65,2,0,5,3,1.44,20,0.77,2
1702.85,0,7,3,2,0.3,8,0.54,1
404.98,3,1,6,3,-0.11,19,0.88,1
10.97,2,2,1,3,0.34,13,0.18,3
51.32,1,0,1,3,0.42,15,0.85,3
563.0,3,7,4,3,1.38,10,0.96,3
492.52,3,2,0,0,-0.9,12,0.31,3
16.25,2,2,3,3,0.84,1,0.26,0
35.05,1,4,5,2,-1.58,12,0.17,1
1191.22,0,2,6,3,0.4,5,0.01,2
648.12,0,5,5,0,-1.55,14,0.81,2
4.68,2,1,1,1,-0.02,13,0.46,3
36.49,1,5,3,3,-1.07,11,0.57,2
364.61,0,0,7,1,0.0,19,0.14,0
13.24,2,2,6,1,1.01,3,0.34,3
75.55,1,0,1,1,0.35,8,0.71,3
1014.57,0,5,5,2,0.03,3,0.19,3
32.67,2,2,3,0,-0.46,13,0.78,1
1607.46,0,0,1,0,-0.54,12,0.25,1
174.88,1,4,4,0,1.66,20,0.14,1
20.89,1,7,7,2,0.41,4,0.93,3
513.73,0,2,4,3,-0.91,8,0.25,3
26.43,1,5,7,1,0.17,12,0.17,2
260.07,3,3,7,2,-1.45,19,0.69,1
437.54,3,4,5,0,0.26,12,0.48,1
15.67,2,6,6,3,-1.19,18,0.16,0
918.43,0,7,4,2,0.7,9,0.75,1
0.57,1,4,1,2,0.02,12,0.35,2
318.12,3,4,6,2,-0.94,16,0.64,1
38.87,2,5,4,3,-0.48,13,0.96,0
118.05,3,1,3,0,-0.59,15,0.57,0
109.52,1,7,1,1,-0.14,10,0.87,0
346.19,3,7,7,2,-1.31,7,0.81,0
739.95,0,0,1,1,-1.17,5,0.7,3
377.13,3,1,1,2,1.58,3,0.4,1
185.23,1,4,2,2,0.81,14,0.82,0
171.08,1,4,3,1,-1.34,1,0.12,2
7.66,2,0,5,1,-1.36,9,0.08,3
1400.15,0,7,4,1,-1.01,15,0.01,0
745.63,0,6,7,0,-0.67,5,0.38,3
307.87,3,2,4,3,0.44,4,0.59,2
81.15,2,5,5,3,-0.33,13,0.3,0
1021.83,0,4,7,3,0.83,12,0.55,1
1.88,1,1,1,2,-0.99,3,0.64,1
8.32,2,2,2,0,-0.24,2,0.24,1
1091.38,0,5,6,1,-1.92,16,0.95,0
66.56,2,2,5,1,-0.31,3,0.5,3
0.01,0,7,3,1,-1.27,8,0.05,2
207.0,1,7,7,3,0.76,3,0.57,1
26.0,2,1,7,1,-0.44,1,0.37,1
494.45,3,7,6,1,1.23,1,0.95,1
968.35,0,0,5,1,0.19,8,0.9,2
1366.35,0,5,1,3,-0.51,13,0.7,0
981.67,0,0,2,3,1.88,15,0.31,1
50.59,2,5,0,0,0.63,12,0.4,0
220.91,3,6,4,1,0.41,4,0.01,0
30.2,2,6,3,1,0.89,5,0.09,0
6.19,1,3,3,2,-0.62,6,0.35,1
19.56,2,3,1,2,0.84,14,0.2,2
19.35,2,2,5,3,0.51,11,0.6,2
938.24,0,7,0,0,0.21,19,0.85,2
563.47,0,4,6,3,-2.42,18,0.31,1
656.05,0,4,0,3,-0.46,11,0.06,3
856.08,0,4,5,0,-2.19,6,0.73,0
88.56,1,1,5,3,-0.32,19,0.39,0
1674.4,0,7,7,0,-2.42,3,0.82,0
286.32,0,5,3,2,-0.29,14,0.49,1
589.43,3,0,4,1,-2.62,10,0.02,2
1286.73,0,4,4,1,0.56,14,0.16,1
25.93,2,1,5,3,-0.21,2,0.39,2
171.2,1,7,2,1,0.4,3,0.47,0
97.45,1,0,7,2,0.73,6,0.45,3
230.24,0,6,7,2,-1.81,17,0.42,0
571.48,3,6,4,3,-0.63,7,0.81,0
25.51,2,4,2,1,-1.19,9,0.52,1
607.98,0,6,2,0,-0.44,14,0.26,3
127.78,1,5,1,0,1.08,9,0.9,0
0.01,3,0,5,2,0.35,9,0.73,3
1036.56,0,0,2,0,1.29,19,0.03,1
91.85,2,4,4,2,1.47,1,0.24,2
1269.41,0,1,3,2,0.68,7,0.86,2
406.58,3,0,3,3,1.11,20,0.81,3
173.19,1,6,3,0,-0.14,3,0.34,3
1462.0,0,2,7,3,0.46,16,1.0,2
25.78,2,7,4,0,1.08,18,0.18,3
781.64,3,4,0,0,-1.58,11,0.37,1
1095.17,0,3,0,1,-1.01,5,0.14,1
1474.25,0,3,7,3,-0.19,2,0.0,3
29.9,1,2,1,2,-0.21,7,0.73,1
18.38,2,1,6,1,0.19,17,0.59,1
5.36,2,2,6,0,-0.41,13,0.02,1
986.14,0,2,5,1,0.5,4,0.65,2
149.48,3,7,3,0,-0.78,9,0.62,1
491.5,3,1,0,0,-1.25,10,0.16,1
63.54,1,0,2,1,1.19,15,0.99,2
19.83,2,4,1,1,-0.81,2,0.01,2
20.41,2,4,6,1,-0.89,13,0.69,1
1733.78,0,2,4,2,0.65,20,0.38,0
1244.89,0,1,7,1,1.47,11,0.52,0
1047.25,0,5,6,2,-0.21,6,0.07,1
68.78,1,2,0,1,-1.23,3,0.86,1
794.01,0,6,5,3,0.45,11,0.36,1
1526.1,0,6,0,1,-0.87,10,0.55,3
241.31,1,6,5,3,1.12,4,0.93,0
1062.84,0,3,4,3,1.63,18,0.94,1
45.64,1,2,0,0,0.04,11,0.97,1
428.56,3,7,0,0,0.47,6,0.5,3
233.25,1,5,2,1,-0.25,5,0.05,1
8.43,2,7,3,0,1.61,18,0.86,1
698.99,0,5,5,3,1.21,8,0.91,1
0.01,3,6,1,1,-0.14,6,0.58,1
25.87,2,3,7,1,0.77,17,0.22,3
18.15,2,4,7,0,1.32,16,1.0,0
565.47,0,4,1,1,-0.43,9,0.54,1
1091.9,0,6,6,1,0.34,7,0.86,2
42.39,2,5,2,1,1.37,6,0.79,2
976.33,0,2,2,1,0.05,3,0.36,2
1232.61,0,3,6,3,-1.33,13,0.8,0
1781.59,0,5,1,1,0.41,12,0.21,3
1030.85,0,3,2,0,1.59,9,0.1,2
35.64,2,3,4,0,-0.2,19,0.36,3
88.54,1,1,7,3,-0.54,16,0.46,3
623.54,3,7,5,1,1.52,1,0.81,2
157.24,3,1,6,2,-1.22,13,0.36,2
296.9,3,3,7,1,0.05,9,0.37,0
63.63,2,6,5,0,-0.72,13,0.65,0
126.57,1,3,3,3,0.2,9,0.21,1
129.16,1,3,4,3,0.35,14,0.02,0
380.29,3,1,6,2,1.17,10,0.95,2
435.98,3,1,6,0,-1.12,20,0.59,1
12.87,1,0,2,3,1.1,18,0.5,1
36.72,1,4,3,2,-0.78,16,0.79,0
70.21,1,1,0,1,-0.44,1,0.38,2
91.08,2,2,7,0,-0.24,7,0.41,1
80.95,1,0,2,3,0.5,4,0.21,1
320.29,3,3,1,1,-2.39,9,0.22,2
353.32,3,3,4,1,1.36,17,0.29,0
35.82,2,2,7,2,-1.86,19,0.2,1
228.25,3,3,1,1,0.54,18,0.07,3
223.15,3,4,4,2,1.06,16,0.12,2
1779.69,0,1,0,0,-1.34,11,0.08,2
425.94,3,3,0,3,0.99,9,0.21,0
163.16,1,5,3,2,-0.85,19,0.87,3
157.3,1,3,3,0,-0.8,6,0.46,1
24.46,2,4,5,3,0.09,20,0.34,3
24.81,1,1,4,3,1.13,19,0.69,0
538.54,0,0,1,2,1.95,17,0.53,0
220.78,3,1,4,1,-0.05,11,0.26,1
87.85,3,1,7,0,0.17,3,0.38,1
1674.65,0,6,6,0,-1.08,11,0.32,0
1.58,1,2,6,3,0.52,9,0.94,2
206.14,0,2,2,1,0.52,20,0.16,3
55.16,3,5,3,0,0.74,18,0.93,3
7.75,2,3,0,1,-0.85,10,0.37,1
29.22,1,5,4,2,1.06,10,0.6,3
51.93,1,2,0,0,0.06,14,0.63,2
80.67,0,3,4,0,0.08,2,0.97,1
423.06,3,6,6,1,0.18,7,0.34,1
60.05,1,6,4,3,0.6,13,0.83,0
1195.43,0,7,4,2,-0.46,11,0.16,3
1051.98,0,7,1,0,0.4,4,0.4,2
67.05,1,6,7,1,0.7,12,0.64,2
122.26,1,7,3,2,-0.12,2,0.49,3
65.1,2,0,2,3,-0.75,10,0.82,1
417.72,3,4,2,2,-1.16,18,0.15,0
82.73,3,0,3,3,-0.18,16,0.19,2
1892.33,0,7,4,1,0.11,18,0.74,1
1654.96,0,7,2,1,-0.34,18,0.39,0
169.19,1,2,2,3,-1.13,6,0.53,0
58.77,2,7,0,2,-0.37,12,0.96,3
637.01,0,1,0,3,1.84,9,0.92,3
310.48,3,7,5,0,0.25,19,0.4,2
1521.26,0,1,3,2,0.42,11,0.35,2
32.42,2,5,7,3,-2.22,17,0.7,3
3.17,1,0,6,0,-1.63,18,0.4,2
108.84,3,7,0,1,0.25,14,0.32,3
878.91,0,1,6,0,-0.77,8,0.2,1
9.98,2,5,7,1,-0.75,15,0.47,3
41.01,3,5,1,1,0.39,20,0.27,3
1061.88,0,1,1,3,0.72,17,0.98,1
1299.38,0,5,0,0,-1.65,1,0.35,3
33.52,1,5,5,3,0.1,11,0.9,0
25.64,2,3,6,3,-1.33,7,0.86,0
984.06,0,0,7,3,-0.74,11,0.88,2
211.69,3,5,5,3,0.03,3,0.69,0
366.64,3,7,0,1,0.23,1,0.93,1
19.6,2,3,0,2,0.22,13,0.72,1
71.2,1,5,1,1,-1.35,10,0.44,0
264.08,3,3,4,1,0.57,18,0.14,2
817.59,0,1,7,3,1.2,3,0.11,2
19.76,1,5,6,0,0.29,2,0.42,0
33.45,2,5,4,2,0.48,18,0.81,1
1326.28,0,7,5,3,0.13,12,0.04,2
47.54,2,0,4,0,0.31,3,0.77,2
416.34,3,6,5,0,-1.52,20,0.06,1
57.84,3,3,4,2,-0.24,20,0.23,0
17.06,3,2,1,1,-1.06,7,0.01,3
226.83,0,6,7,0,1.47,19,0.62,1
998.64,0,0,4,3,0.97,11,0.46,1
9.9,2,6,6,0,-0.78,11,0.98,2
12.26,2,2,2,2,-1.3,10,0.22,0
1051.36,0,3,6,3,1.36,16,0.73,3
958.3,0,3,1,1,-0.11,20,0.87,2
44.44,2,7,7,3,0.28,10,0.28,0
1055.12,0,7,7,0,0.98,10,0.57,3
120.85,0,6,1,1,1.21,14,0.39,2
684.33,0,3,6,1,0.71,15,0.47,1
7.98,2,3,4,1,0.49,16,0.11,2
77.43,1,6,7,1,-0.99,14,0.24,3
25.87,1,4,0,3,-0.21,19,0.84,2
673.21,0,2,7,2,1.55,19,0.9,2
0.01,3,7,7,0,0.99,14,0.72,3
900.19,0,5,7,1,0.49,19,0.39,3
543.86,3,7,1,0,-0.55,5,0.29,1
329.73,3,6,6,2,1.21,14,0.62,1
2.72,1,7,5,2,-0.96,2,0.98,3
18.06,2,3,2,1,-1.62,3,0.68,0
49.26,2,2,7,0,0.28,6,0.04,3
1637.02,0,1,4,1,-1.95,9,0.25,0
419.22,1,4,6,0,-0.07,16,0.18,0
228.14,3,3,6,3,0.74,4,0.05,3
2.01,1,3,5,3,0.26,1,0.29,1
77.78,1,1,7,0,0.25,19,0.39,3
142.62,0,5,1,1,-0.73,15,0.35,2
595.69,3,6,2,1,-1.21,19,0.8,0
53.35,2,2,7,0,1.19,3,0.28,0
0.01,0,3,0,2,-0.29,18,0.77,0
58.38,2,3,3,2,-0.38,1,0.93,0
163.08,1,3,1,2,-0.08,16,0.12,2
13.37,2,6,4,0,-0.02,6,0.55,0
19.77,1,7,6,1,3.31,8,0.49,0
1266.68,0,2,2,3,0.53,18,0.15,1
150.32,3,0,3,3,1.53,4,0.46,2
599.36,3,2,7,2,-1.05,4,0.98,3
85.14,1,0,7,3,0.05,5,0.1,1
4.72,2,2,4,3,1.32,5,0.64,0
1643.7,0,1,7,2,-0.61,17,0.98,2
162.12,1,3,6,3,-0.23,2,0.64,2
1384.5,0,0,6,1,-0.38,8,0.72,1
265.06,3,2,0,2,-0.04,3,0.47,0
17.36,2,0,4,3,0.66,5,0.03,3
625.57,3,1,6,3,-0.1,3,0.41,0
11.52,3,4,1,3,1.83,14,0.98,0
191.49,1,3,0,1,-1.1,14,0.95,2
141.22,1,5,4,2,0.72,12,0.63,0
212.75,3,6,7,1,-0.72,2,0.11,3
501.52,3,0,7,3,-0.97,19,0.87,2
520.76,0,4,7,2,-1.32,17,0.53,1
386.44,3,3,2,1,0.66,3,0.11,1
19.54,2,2,6,2,-0.49,14,0.44,3
19.81,2,2,7,0,-1.29,18,0.45,1
198.95,0,0,7,0,-0.86,6,0.62,1
234.02,3,3,5,0,0.44,11,0.98,0
349.22,3,3,7,3,1.51,18,0.98,2
2072.79,0,3,3,3,-0.36,8,0.45,2
1450.88,0,3,2,2,0.95,16,0.32,0
36.42,2,4,5,2,0.45,14,0.8,2
178.45,3,1,4,0,2.04,19,0.76,2
165.52,3,7,6,2,-0.28,10,0.83,3
41.54,1,6,5,2,-0.1,16,0.91,0
13.35,2,3,1,0,1.82,12,0.51,1
562.66,3,5,5,0,-0.3,12,0.05,1
29.15,2,1,5,0,-0.91,5,0.01,2
348.8,3,7,0,1,-0.2,15,0.92,1
291.87,1,4,6,0,-0.02,5,0.86,2
1387.78,0,6,3,2,-0.5,2,0.2,1
645.07,0,6,0,3,-0.12,5,0.85,0
1188.31,0,6,3,3,-0.21,10,0.17,0
582.22,0,0,7,2,0.16,4,0.76,1
0.01,0,6,7,2,0.7,13,0.28,2
1015.28,0,3,7,3,1.16,4,0.4,2
904.34,0,4,0,0,-0.01,20,0.84,0
55.98,2,2,7,2,1.19,5,0.77,1
1169.06,0,6,4,1,-0.09,13,0.6,0
108.78,1,7,5,2,-1.25,18,0.55,1
1137.06,0,5,6,0,-0.04,16,0.43,0
20.0,1,3,6,1,-0.11,13,0.62,1
54.0,2,5,7,2,1.33,14,0.35,2
0.01,0,6,5,1,0.6,2,0.46,3
66.18,1,4,2,2,1.09,7,0.34,2
1251.18,0,7,5,0,-0.38,8,0.62,2
322.0,3,4,2,0,1.25,14,0.66,3
103.64,3,5,6,2,-0.99,15,0.27,0
39.48,2,2,1,0,-1.58,7,0.85,2
624.53,0,7,5,2,-1.0,2,0.2,1
693.35,0,3,3,1,-0.39,11,0.6,2
91.21,3,6,2,0,0.55,4,0.77,1
18.34,2,3,1,0,-0.49,16,0.53,2
9.0,2,1,3,1,-0.64,8,0.25,2
48.31,1,1,5,1,-1.64,10,0.21,0
282.99,1,3,1,0,1.32,6,0.7,1
178.43,3,3,6,1,-1.3,7,0.63,1
39.21,1,4,4,2,-0.1,11,0.8,0
399.06,3,5,3,3,1.52,15,0.2,2
919.82,0,5,1,2,1.16,7,0.95,1
18.38,2,7,1,3,1.07,5,0.03,1
983.32,0,3,6,0,-0.61,14,0.74,1
1482.96,0,5,5,2,-1.46,13,0.67,3
1689.9,0,4,1,3,0.22,5,0.5,3
83.7,1,0,7,2,0.2,18,0.85,0
508.35,3,3,1,1,0.91,18,0.49,1
272.84,3,1,0,1,0.24,14,0.92,0
9.71,2,6,7,3,1.65,16,0.45,2
419.15,3,7,3,0,0.92,2,0.74,3
293.69,3,0,1,2,-1.5,5,0.12,3
31.3,1,3,1,2,-1.98,19,0.6,3
109.31,2,3,0,3,-1.42,3,0.29,1
291.87,3,2,5,1,-0.25,2,0.51,2
2237.25,0,6,4,3,0.17,14,0.88,0
432.58,0,1,2,2,-0.25,1,0.39,2
232.68,1,1,7,2,0.46,7,0.11,3
0.01,3,6,5,2,0.28,16,0.42,0
308.85,3,1,1,1,1.41,14,0.98,3
193.26,1,7,3,1,0.07,19,0.32,1
122.58,1,5,6,0,-1.05,17,0.22,0
25.5,2,3,6,3,0.21,3,0.67,3
258.68,3,7,3,1,0.69,6,0.17,3
110.97,1,1,7,0,-0.64,18,0.27,2
0.01,0,5,2,3,1.51,6,0.73,2
78.47,3,3,1,1,-1.6,16,0.34,0
1.12,1,7,6,2,1.86,17,0.79,1
16.4,2,4,1,3,-1.05,2,0.39,1
15.77,2,4,7,1,1.11,5,0.7,3
27.05,2,2,6,0,-0.81,3,0.51,0
653.95,3,1,1,1,0.42,17,0.35,2
280.15,3,4,5,0,-0.65,13,0.52,0
201.56,1,6,2,1,0.87,15,0.08,1
2.2,1,0,6,3,-0.73,15,0.13,1
28.78,1,6,2,0,0.56,12,0.3,3
8.37,1,5,5,0,0.14,6,0.82,0
19.37,2,3,7,2,0.96,5,0.76,1
4.87,1,2,0,2,-1.63,18,0.05,3
762.97,0,6,0,1,0.0,1,0.12,0
26.33,2,2,3,2,-1.18,11,0.44,2
26.02,2,0,6,0,1.4,6,0.06,2
21.12,2,1,1,1,2.03,7,0.24,2
1495.09,0,3,3,2,0.17,18,0.96,0
185.5,3,4,6,3,-0.1,18,0.45,1
5.06,2,2,7,3,1.57,19,0.07,3
13.32,2,4,5,2,0.46,8,0.66,3
135.02,0,3,3,1,-1.82,16,0.76,0
74.25,2,2,6,1,1.1,15,0.37,2
110.39,3,6,5,3,2.6,2,0.28,0
728.36,3,7,6,1,-0.33,3,0.13,0
1383.65,0,2,3,0,0.57,4,0.68,1
33.29,2,5,1,3,-0.85,3,0.88,3
348.05,0,5,4,2,-1.17,11,0.84,2
347.73,3,6,4,1,-0.77,19,0.12,1
1024.26,0,1,1,1,-0.56,10,0.85,2
706.02,0,4,3,2,-1.15,19,0.19,3
11.5,1,3,6,3,0.1,10,0.58,0
744.49,0,0,3,3,-0.34,14,0.34,2
13.1,2,4,5,2,0.58,2,0.5,3
17.16,2,2,0,2,0.94,1,0.36,0
18.72,2,5,3,3,-0.15,9,0.72,0
307.55,3,2,2,0,0.69,10,0.46,0
352.26,3,2,7,0,0.74,2,0.76,1
131.49,1,7,2,2,-0.11,6,0.51,2
160.02,1,3,5,2,0.56,15,0.86,2
1113.95,0,0,2,0,2.05,17,0.35,1
41.28,1,4,5,2,0.31,3,0.36,2
472.88,3,4,0,0,0.66,10,0.75,3
48.15,1,2,3,2,0.48,7,0.47,0
15.51,1,7,4,2,-0.54,12,0.14,2
77.93,1,1,7,1,0.51,11,0.57,2
31.12,2,3,5,1,-0.27,4,0.67,0
74.91,3,1,2,2,-0.1,11,0.86,2
173.94,1,7,6,3,0.11,14,0.82,3
1280.28,0,0,4,1,-0.6,11,0.91,1
25.16,2,2,6,2,-0.46,6,0.9,0
48.42,2,1,2,3,-1.44,4,1.0,1
74.11,1,5,2,2,0.9,11,0.75,1
53.85,1,3,4,1,-0.71,15,0.14,2
25.25,1,0,2,1,-0.22,5,0.44,3
1608.45,0,2,5,2,-0.26,13,0.77,2
268.03,3,6,0,1,-0.18,6,0.04,0
787.31,3,7,2,0,0.47,11,0.01,3
0.01,3,2,5,2,0.9,18,0.79,2
406.72,3,4,4,1,2.19,15,0.38,3
434.88,3,6,3,3,0.24,16,0.3,3
14.34,2,0,5,0,-2.73,10,0.75,2
413.67,3,2,7,3,-0.36,1,0.06,1
902.47,3,7,2,2,-0.6,8,0.42,1
154.71,1,2,6,2,1.48,14,0.51,1
238.09,3,0,5,2,-0.28,18,0.61,1
35.29,2,3,1,2,0.77,12,0.38,1
252.78,1,1,7,2,-0.48,14,0.74,3
13.08,1,0,5,3,-1.37,1,0.12,0
41.64,1,1,5,2,-0.17,3,0.11,3
62.15,1,5,2,1,-1.66,17,0.42,1
147.64,3,6,4,3,0.51,7,0.26,0
1156.6,0,4,3,3,1.59,16,0.67,1
650.37,0,2,5,2,0.06,11,0.37,1
596.61,0,5,4,2,-1.36,1,0.6,0
13.37,2,5,7,1,-0.32,16,0.4,3
571.03,3,5,6,2,-0.66,10,0.83,2
305.69,3,6,2,2,1.23,13,0.77,2
971.9,0,4,0,1,1.94,13,0.91,3
35.74,2,7,2,0,1.5,19,0.74,0
483.77,3,7,2,2,-1.98,18,0.85,2
300.7,3,5,7,0,-0.28,19,0.48,2
93.69,3,7,3,3,1.92,13,0.3,1
259.64,1,6,5,0,-0.38,4,0.13,0
0.01,3,7,0,1,-1.2,19,0.1,3
461.52,0,4,1,3,0.02,13,0.49,1
763.44,0,6,2,1,0.5,16,0.64,2
35.92,1,1,6,1,2.02,18,0.18,3
966.98,0,7,2,3,0.85,1,0.55,0
160.32,0,6,2,0,0.6,1,0.25,3
30.06,3,6,3,3,-0.13,7,0.14,2
21.48,2,1,1,3,-2.32,14,0.94,1
268.01,3,2,6,0,0.66,13,0.03,1
11.15,2,6,7,0,1.08,9,0.01,3
405.23,1,6,7,0,1.42,20,0.1,3
115.04,1,3,6,0,-0.61,5,0.14,2
221.1,1,1,5,2,-1.46,10,0.64,0
450.76,0,0,3,1,-1.1,1,0.96,3
896.05,0,2,3,3,-0.39,14,0.7,2
644.31,0,4,6,0,-0.86,12,0.97,2
72.12,1,7,5,1,0.46,20,0.85,1
378.86,3,2,7,1,-0.6,17,0.51,2
193.0,1,2,7,0,0.28,14,0.89,3
13.63,2,7,2,3,0.97,11,0.9,3
52.59,3,4,1,2,0.25,4,0.96,0
25.77,2,2,3,2,-0.28,14,0.25,1
13.12,1,7,4,1,1.12,7,0.99,0
1429.58,0,7,2,1,-0.71,8,0.22,1
23.26,2,2,0,0,0.47,6,0.04,2
745.32,3,1,4,0,-0.15,1,0.68,3
327.34,3,2,2,1,0.43,20,0.12,0
43.32,1,7,6,1,0.45,9,0.89,0
1085.04,0,0,5,3,1.18,2,0.96,3
24.53,1,2,1,0,0.24,7,0.59,0
583.39,3,7,3,3,0.54,2,0.64,3
1898.26,0,4,7,0,1.96,9,0.72,2
12.44,3,1,3,1,-0.69,9,0.87,1
