TransactionAmount,TransactionType,MerchantCategory,Location,DeviceType,SpendingDeviationScore,VelocityScore,GeoAnomalyScore,PaymentChannel,Target
18.72,2,1,7,1,-1.21,16,0.75,2,1
1163.52,0,2,3,2,-0.39,11,0.58,2,0
83.34,1,4,2,2,0.1,8,0.44,2,1
1264.0,0,7,7,0,0.05,7,0.17,0,0
98.6,2,4,6,2,0.56,16,0.44,2,1
921.97,0,4,5,1,-0.89,15,0.58,2,0
53.07,2,6,6,1,-0.79,15,0.99,0,1
1309.83,0,4,2,0,-0.92,9,0.72,2,0
171.6,1,0,2,0,-0.35,11,0.81,1,1
117.37,1,7,0,3,1.71,4,0.51,0,1
261.73,3,3,3,2,0.9,8,0.97,3,1
28.66,2,3,4,0,-1.04,6,0.82,1,1
591.25,0,1,2,3,-0.02,15,0.91,3,0
44.59,1,4,0,2,-0.17,4,0.84,2,1
294.5,3,3,4,1,0.17,1,0.26,2,1
67.03,1,6,2,2,-0.88,5,0.29,2,1
603.02,0,5,1,2,-0.96,13,0.98,2,0
23.32,2,0,3,0,0.24,15,0.98,3,1
24.43,3,5,7,0,-0.57,18,0.47,1,1
12.51,2,2,1,2,-0.34,16,0.37,1,1
19.81,2,6,2,0,0.55,10,0.45,3,1
40.97,2,5,2,2,-1.66,6,0.95,3,1
83.44,1,5,6,2,-0.14,12,0.44,3,1
250.97,3,3,1,1,0.24,7,1.0,3,1
35.67,1,6,7,0,-1.54,18,0.54,2,1
489.36,3,3,3,0,-2.8,5,0.61,3,1
390.9,0,0,7,1,0.58,15,0.68,1,0
244.53,3,1,6,3,0.66,17,0.89,3,1
100.9,3,0,6,0,-0.28,1,0.08,2,1
42.91,2,3,0,2,-1.46,6,0.44,3,1
24.58,2,2,6,0,0.44,11,0.24,2,1
86.85,1,7,6,0,0.22,17,0.47,3,1
16.72,2,5,3,0,0.55,20,0.88,1,1
385.5,1,4,3,2,-0.59,18,0.29,2,1
11.22,2,4,6,3,-0.28,17,0.04,1,1
36.85,2,4,6,2,-0.99,17,0.53,3,1
744.85,0,3,5,3,-0.66,19,0.48,2,0
511.61,3,2,0,2,1.14,2,0.71,1,1
8.19,2,1,4,3,-1.17,9,0.56,0,1
67.09,2,1,2,2,1.04,5,0.29,1,1
21.22,2,1,6,1,-2.26,8,0.05,0,1
234.08,3,5,6,2,-0.66,10,0.32,1,1
57.55,1,3,6,0,0.09,1,0.3,2,1
124.67,1,1,0,1,0.58,9,0.72,3,1
23.16,1,4,2,2,0.94,6,0.98,2,1
10.01,2,1,3,0,-0.13,4,0.47,3,1
30.74,1,0,4,0,-0.34,18,0.91,1,1
1090.94,0,7,6,3,0.66,7,0.72,3,0
1400.85,0,3,5,1,-0.86,9,0.82,1,0
19.44,1,5,5,2,0.2,14,0.37,0,1
15.08,2,6,6,2,-1.69,8,0.83,0,1
20.65,2,0,5,3,1.44,20,0.77,2,1
1702.85,0,7,3,2,0.3,8,0.54,1,0
404.98,3,1,6,3,-0.11,19,0.88,1,1
10.97,2,2,1,3,0.34,13,0.18,3,1
51.32,1,0,1,3,0.42,15,0.85,3,1
563.0,3,7,4,3,1.38,10,0.96,3,1
492.52,3,2,0,0,-0.9,12,0.31,3,1
16.25,2,2,3,3,0.84,1,0.26,0,1
35.05,1,4,5,2,-1.58,12,0.17,1,1
1191.22,0,2,6,3,0.4,5,0.01,2,0
648.12,0,5,5,0,-1.55,14,0.81,2,0
4.68,2,1,1,1,-0.02,13,0.46,3,1
36.49,1,5,3,3,-1.07,11,0.57,2,1
364.61,0,0,7,1,0.0,19,0.14,0,0
13.24,2,2,6,1,1.01,3,0.34,3,1
75.55,1,0,1,1,0.35,8,0.71,3,1
1014.57,0,5,5,2,0.03,3,0.19,3,0
32.67,2,2,3,0,-0.46,13,0.78,1,1
1607.46,0,0,1,0,-0.54,12,0.25,1,0
174.88,1,4,4,0,1.66,20,0.14,1,1
20.89,1,7,7,2,0.41,4,0.93,3,1
513.73,0,2,4,3,-0.91,8,0.25,3,0
26.43,1,5,7,1,0.17,12,0.17,2,1
260.07,3,3,7,2,-1.45,19,0.69,1,1
437.54,3,4,5,0,0.26,12,0.48,1,1
15.67,2,6,6,3,-1.19,18,0.16,0,1
918.43,0,7,4,2,0.7,9,0.75,1,0
0.57,1,4,1,2,0.02,12,0.35,2,1
318.12,3,4,6,2,-0.94,16,0.64,1,1
38.87,2,5,4,3,-0.48,13,0.96,0,1
118.05,3,1,3,0,-0.59,15,0.57,0,1
109.52,1,7,1,1,-0.14,10,0.87,0,1
346.19,3,7,7,2,-1.31,7,0.81,0,1
739.95,0,0,1,1,-1.17,5,0.7,3,0
377.13,3,1,1,2,1.58,3,0.4,1,1
185.23,1,4,2,2,0.81,14,0.82,0,1
171.08,1,4,3,1,-1.34,1,0.12,2,1
7.66,2,0,5,1,-1.36,9,0.08,3,1
1400.15,0,7,4,1,-1.01,15,0.01,0,0
745.63,0,6,7,0,-0.67,5,0.38,3,0
307.87,3,2,4,3,0.44,4,0.59,2,1
81.15,2,5,5,3,-0.33,13,0.3,0,1
1021.83,0,4,7,3,0.83,12,0.55,1,0
1.88,1,1,1,2,-0.99,3,0.64,1,1
8.32,2,2,2,0,-0.24,2,0.24,1,1
1091.38,0,5,6,1,-1.92,16,0.95,0,0
66.56,2,2,5,1,-0.31,3,0.5,3,1
0.01,0,7,3,1,-1.27,8,0.05,2,1
207.0,1,7,7,3,0.76,3,0.57,1,1
26.0,2,1,7,1,-0.44,1,0.37,1,1
494.45,3,7,6,1,1.23,1,0.95,1,1
968.35,0,0,5,1,0.19,8,0.9,2,0
1366.35,0,5,1,3,-0.51,13,0.7,0,0
981.67,0,0,2,3,1.88,15,0.31,1,0
50.59,2,5,0,0,0.63,12,0.4,0,1
220.91,3,6,4,1,0.41,4,0.01,0,1
30.2,2,6,3,1,0.89,5,0.09,0,1
6.19,1,3,3,2,-0.62,6,0.35,1,1
19.56,2,3,1,2,0.84,14,0.2,2,1
19.35,2,2,5,3,0.51,11,0.6,2,1
938.24,0,7,0,0,0.21,19,0.85,2,0
563.47,0,4,6,3,-2.42,18,0.31,1,0
656.05,0,4,0,3,-0.46,11,0.06,3,0
856.08,0,4,5,0,-2.19,6,0.73,0,0
88.56,1,1,5,3,-0.32,19,0.39,0,1
1674.4,0,7,7,0,-2.42,3,0.82,0,0
286.32,0,5,3,2,-0.29,14,0.49,1,0
589.43,3,0,4,1,-2.62,10,0.02,2,1
1286.73,0,4,4,1,0.56,14,0.16,1,0
25.93,2,1,5,3,-0.21,2,0.39,2,1
171.2,1,7,2,1,0.4,3,0.47,0,1
97.45,1,0,7,2,0.73,6,0.45,3,1
230.24,0,6,7,2,-1.81,17,0.42,0,0
571.48,3,6,4,3,-0.63,7,0.81,0,1
25.51,2,4,2,1,-1.19,9,0.52,1,1
607.98,0,6,2,0,-0.44,14,0.26,3,0
127.78,1,5,1,0,1.08,9,0.9,0,1
0.01,3,0,5,2,0.35,9,0.73,3,1
1036.56,0,0,2,0,1.29,19,0.03,1,0
91.85,2,4,4,2,1.47,1,0.24,2,1
1269.41,0,1,3,2,0.68,7,0.86,2,0
406.58,3,0,3,3,1.11,20,0.81,3,1
173.19,1,6,3,0,-0.14,3,0.34,3,1
1462.0,0,2,7,3,0.46,16,1.0,2,0
25.78,2,7,4,0,1.08,18,0.18,3,1
781.64,3,4,0,0,-1.58,11,0.37,1,1
1095.17,0,3,0,1,-1.01,5,0.14,1,0
1474.25,0,3,7,3,-0.19,2,0.0,3,0
29.9,1,2,1,2,-0.21,7,0.73,1,1
18.38,2,1,6,1,0.19,17,0.59,1,1
5.36,2,2,6,0,-0.41,13,0.02,1,1
986.14,0,2,5,1,0.5,4,0.65,2,0
149.48,3,7,3,0,-0.78,9,0.62,1,1
491.5,3,1,0,0,-1.25,10,0.16,1,1
63.54,1,0,2,1,1.19,15,0.99,2,1
19.83,2,4,1,1,-0.81,2,0.01,2,1
20.41,2,4,6,1,-0.89,13,0.69,1,1
1733.78,0,2,4,2,0.65,20,0.38,0,0
1244.89,0,1,7,1,1.47,11,0.52,0,0
1047.25,0,5,6,2,-0.21,6,0.07,1,0
68.78,1,2,0,1,-1.23,3,0.86,1,1
794.01,0,6,5,3,0.45,11,0.36,1,0
1526.1,0,6,0,1,-0.87,10,0.55,3,0
241.31,1,6,5,3,1.12,4,0.93,0,1
1062.84,0,3,4,3,1.63,18,0.94,1,0
45.64,1,2,0,0,0.04,11,0.97,1,1
428.56,3,7,0,0,0.47,6,0.5,3,1
233.25,1,5,2,1,-0.25,5,0.05,1,1
8.43,2,7,3,0,1.61,18,0.86,1,1
698.99,0,5,5,3,1.21,8,0.91,1,0
0.01,3,6,1,1,-0.14,6,0.58,1,1
25.87,2,3,7,1,0.77,17,0.22,3,1
18.15,2,4,7,0,1.32,16,1.0,0,1
565.47,0,4,1,1,-0.43,9,0.54,1,0
1091.9,0,6,6,1,0.34,7,0.86,2,0
42.39,2,5,2,1,1.37,6,0.79,2,1
976.33,0,2,2,1,0.05,3,0.36,2,0
1232.61,0,3,6,3,-1.33,13,0.8,0,0
1781.59,0,5,1,1,0.41,12,0.21,3,0
1030.85,0,3,2,0,1.59,9,0.1,2,0
35.64,2,3,4,0,-0.2,19,0.36,3,1
88.54,1,1,7,3,-0.54,16,0.46,3,1
623.54,3,7,5,1,1.52,1,0.81,2,1
157.24,3,1,6,2,-1.22,13,0.36,2,1
296.9,3,3,7,1,0.05,9,0.37,0,1
63.63,2,6,5,0,-0.72,13,0.65,0,1
126.57,1,3,3,3,0.2,9,0.21,1,1
129.16,1,3,4,3,0.35,14,0.02,0,1
380.29,3,1,6,2,1.17,10,0.95,2,1
435.98,3,1,6,0,-1.12,20,0.59,1,1
12.87,1,0,2,3,1.1,18,0.5,1,1
36.72,1,4,3,2,-0.78,16,0.79,0,1
70.21,1,1,0,1,-0.44,1,0.38,2,1
91.08,2,2,7,0,-0.24,7,0.41,1,1
80.95,1,0,2,3,0.5,4,0.21,1,1
320.29,3,3,1,1,-2.39,9,0.22,2,1
353.32,3,3,4,1,1.36,17,0.29,0,1
35.82,2,2,7,2,-1.86,19,0.2,1,1
228.25,3,3,1,1,0.54,18,0.07,3,1
223.15,3,4,4,2,1.06,16,0.12,2,1
1779.69,0,1,0,0,-1.34,11,0.08,2,0
425.94,3,3,0,3,0.99,9,0.21,0,1
163.16,1,5,3,2,-0.85,19,0.87,3,1
157.3,1,3,3,0,-0.8,6,0.46,1,1
24.46,2,4,5,3,0.09,20,0.34,3,1
24.81,1,1,4,3,1.13,19,0.69,0,1
538.54,0,0,1,2,1.95,17,0.53,0,0
220.78,3,1,4,1,-0.05,11,0.26,1,1
87.85,3,1,7,0,0.17,3,0.38,1,1
1674.65,0,6,6,0,-1.08,11,0.32,0,0
1.58,1,2,6,3,0.52,9,0.94,2,1
206.14,0,2,2,1,0.52,20,0.16,3,1
55.16,3,5,3,0,0.74,18,0.93,3,1
7.75,2,3,0,1,-0.85,10,0.37,1,1
29.22,1,5,4,2,1.06,10,0.6,3,1
51.93,1,2,0,0,0.06,14,0.63,2,1
80.67,0,3,4,0,0.08,2,0.97,1,1
423.06,3,6,6,1,0.18,7,0.34,1,1
60.05,1,6,4,3,0.6,13,0.83,0,1
1195.43,0,7,4,2,-0.46,11,0.16,3,0
1051.98,0,7,1,0,0.4,4,0.4,2,0
67.05,1,6,7,1,0.7,12,0.64,2,1
122.26,1,7,3,2,-0.12,2,0.49,3,1
65.1,2,0,2,3,-0.75,10,0.82,1,1
417.72,3,4,2,2,-1.16,18,0.15,0,1
82.73,3,0,3,3,-0.18,16,0.19,2,1
1892.33,0,7,4,1,0.11,18,0.74,1,0
1654.96,0,7,2,1,-0.34,18,0.39,0,0
169.19,1,2,2,3,-1.13,6,0.53,0,1
58.77,2,7,0,2,-0.37,12,0.96,3,1
637.01,0,1,0,3,1.84,9,0.92,3,0
310.48,3,7,5,0,0.25,19,0.4,2,1
1521.26,0,1,3,2,0.42,11,0.35,2,0
32.42,2,5,7,3,-2.22,17,0.7,3,1
3.17,1,0,6,0,-1.63,18,0.4,2,1
108.84,3,7,0,1,0.25,14,0.32,3,1
878.91,0,1,6,0,-0.77,8,0.2,1,0
9.98,2,5,7,1,-0.75,15,0.47,3,1
41.01,3,5,1,1,0.39,20,0.27,3,1
1061.88,0,1,1,3,0.72,17,0.98,1,0
1299.38,0,5,0,0,-1.65,1,0.35,3,0
33.52,1,5,5,3,0.1,11,0.9,0,1
25.64,2,3,6,3,-1.33,7,0.86,0,1
984.06,0,0,7,3,-0.74,11,0.88,2,0
211.69,3,5,5,3,0.03,3,0.69,0,1
366.64,3,7,0,1,0.23,1,0.93,1,1
19.6,2,3,0,2,0.22,13,0.72,1,1
71.2,1,5,1,1,-1.35,10,0.44,0,1
264.08,3,3,4,1,0.57,18,0.14,2,1
817.59,0,1,7,3,1.2,3,0.11,2,0
19.76,1,5,6,0,0.29,2,0.42,0,1
33.45,2,5,4,2,0.48,18,0.81,1,1
1326.28,0,7,5,3,0.13,12,0.04,2,0
47.54,2,0,4,0,0.31,3,0.77,2,1
416.34,3,6,5,0,-1.52,20,0.06,1,1
57.84,3,3,4,2,-0.24,20,0.23,0,1
17.06,3,2,1,1,-1.06,7,0.01,3,1
226.83,0,6,7,0,1.47,19,0.62,1,0
998.64,0,0,4,3,0.97,11,0.46,1,0
9.9,2,6,6,0,-0.78,11,0.98,2,1
12.26,2,2,2,2,-1.3,10,0.22,0,1
1051.36,0,3,6,3,1.36,16,0.73,3,0
958.3,0,3,1,1,-0.11,20,0.87,2,0
44.44,2,7,7,3,0.28,10,0.28,0,1
1055.12,0,7,7,0,0.98,10,0.57,3,0
120.85,0,6,1,1,1.21,14,0.39,2,1
684.33,0,3,6,1,0.71,15,0.47,1,0
7.98,2,3,4,1,0.49,16,0.11,2,1
77.43,1,6,7,1,-0.99,14,0.24,3,1
25.87,1,4,0,3,-0.21,19,0.84,2,1
673.21,0,2,7,2,1.55,19,0.9,2,0
0.01,3,7,7,0,0.99,14,0.72,3,1
900.19,0,5,7,1,0.49,19,0.39,3,0
543.86,3,7,1,0,-0.55,5,0.29,1,1
329.73,3,6,6,2,1.21,14,0.62,1,1
2.72,1,7,5,2,-0.96,2,0.98,3,1
18.06,2,3,2,1,-1.62,3,0.68,0,1
49.26,2,2,7,0,0.28,6,0.04,3,1
1637.02,0,1,4,1,-1.95,9,0.25,0,0
419.22,1,4,6,0,-0.07,16,0.18,0,1
228.14,3,3,6,3,0.74,4,0.05,3,1
2.01,1,3,5,3,0.26,1,0.29,1,1
77.78,1,1,7,0,0.25,19,0.39,3,1
142.62,0,5,1,1,-0.73,15,0.35,2,1
595.69,3,6,2,1,-1.21,19,0.8,0,1
53.35,2,2,7,0,1.19,3,0.28,0,1
0.01,0,3,0,2,-0.29,18,0.77,0,1
58.38,2,3,3,2,-0.38,1,0.93,0,1
163.08,1,3,1,2,-0.08,16,0.12,2,1
13.37,2,6,4,0,-0.02,6,0.55,0,1
19.77,1,7,6,1,3.31,8,0.49,0,1
1266.68,0,2,2,3,0.53,18,0.15,1,0
150.32,3,0,3,3,1.53,4,0.46,2,1
599.36,3,2,7,2,-1.05,4,0.98,3,1
85.14,1,0,7,3,0.05,5,0.1,1,1
4.72,2,2,4,3,1.32,5,0.64,0,1
1643.7,0,1,7,2,-0.61,17,0.98,2,0
162.12,1,3,6,3,-0.23,2,0.64,2,1
1384.5,0,0,6,1,-0.38,8,0.72,1,0
265.06,3,2,0,2,-0.04,3,0.47,0,1
17.36,2,0,4,3,0.66,5,0.03,3,1
625.57,3,1,6,3,-0.1,3,0.41,0,1
11.52,3,4,1,3,1.83,14,0.98,0,1
191.49,1,3,0,1,-1.1,14,0.95,2,1
141.22,1,5,4,2,0.72,12,0.63,0,1
212.75,3,6,7,1,-0.72,2,0.11,3,1
501.52,3,0,7,3,-0.97,19,0.87,2,1
520.76,0,4,7,2,-1.32,17,0.53,1,0
386.44,3,3,2,1,0.66,3,0.11,1,1
19.54,2,2,6,2,-0.49,14,0.44,3,1
19.81,2,2,7,0,-1.29,18,0.45,1,1
198.95,0,0,7,0,-0.86,6,0.62,1,1
234.02,3,3,5,0,0.44,11,0.98,0,1
349.22,3,3,7,3,1.51,18,0.98,2,1
2072.79,0,3,3,3,-0.36,8,0.45,2,0
1450.88,0,3,2,2,0.95,16,0.32,0,0
36.42,2,4,5,2,0.45,14,0.8,2,1
178.45,3,1,4,0,2.04,19,0.76,2,1
165.52,3,7,6,2,-0.28,10,0.83,3,1
41.54,1,6,5,2,-0.1,16,0.91,0,1
13.35,2,3,1,0,1.82,12,0.51,1,1
562.66,3,5,5,0,-0.3,12,0.05,1,1
29.15,2,1,5,0,-0.91,5,0.01,2,1
348.8,3,7,0,1,-0.2,15,0.92,1,1
291.87,1,4,6,0,-0.02,5,0.86,2,1
1387.78,0,6,3,2,-0.5,2,0.2,1,0
645.07,0,6,0,3,-0.12,5,0.85,0,0
1188.31,0,6,3,3,-0.21,10,0.17,0,0
582.22,0,0,7,2,0.16,4,0.76,1,0
0.01,0,6,7,2,0.7,13,0.28,2,1
1015.28,0,3,7,3,1.16,4,0.4,2,0
904.34,0,4,0,0,-0.01,20,0.84,0,0
55.98,2,2,7,2,1.19,5,0.77,1,1
1169.06,0,6,4,1,-0.09,13,0.6,0,0
108.78,1,7,5,2,-1.25,18,0.55,1,1
1137.06,0,5,6,0,-0.04,16,0.43,0,0
20.0,1,3,6,1,-0.11,13,0.62,1,1
54.0,2,5,7,2,1.33,14,0.35,2,1
0.01,0,6,5,1,0.6,2,0.46,3,1
66.18,1,4,2,2,1.09,7,0.34,2,1
1251.18,0,7,5,0,-0.38,8,0.62,2,0
322.0,3,4,2,0,1.25,14,0.66,3,1
103.64,3,5,6,2,-0.99,15,0.27,0,1
39.48,2,2,1,0,-1.58,7,0.85,2,1
624.53,0,7,5,2,-1.0,2,0.2,1,0
693.35,0,3,3,1,-0.39,11,0.6,2,0
91.21,3,6,2,0,0.55,4,0.77,1,1
18.34,2,3,1,0,-0.49,16,0.53,2,1
9.0,2,1,3,1,-0.64,8,0.25,2,1
48.31,1,1,5,1,-1.64,10,0.21,0,1
282.99,1,3,1,0,1.32,6,0.7,1,1
178.43,3,3,6,1,-1.3,7,0.63,1,1
39.21,1,4,4,2,-0.1,11,0.8,0,1
399.06,3,5,3,3,1.52,15,0.2,2,1
919.82,0,5,1,2,1.16,7,0.95,1,0
18.38,2,7,1,3,1.07,5,0.03,1,1
983.32,0,3,6,0,-0.61,14,0.74,1,0
1482.96,0,5,5,2,-1.46,13,0.67,3,0
1689.9,0,4,1,3,0.22,5,0.5,3,0
83.7,1,0,7,2,0.2,18,0.85,0,1
508.35,3,3,1,1,0.91,18,0.49,1,1
272.84,3,1,0,1,0.24,14,0.92,0,1
9.71,2,6,7,3,1.65,16,0.45,2,1
419.15,3,7,3,0,0.92,2,0.74,3,1
293.69,3,0,1,2,-1.5,5,0.12,3,1
31.3,1,3,1,2,-1.98,19,0.6,3,1
109.31,2,3,0,3,-1.42,3,0.29,1,1
291.87,3,2,5,1,-0.25,2,0.51,2,1
2237.25,0,6,4,3,0.17,14,0.88,0,0
432.58,0,1,2,2,-0.25,1,0.39,2,0
232.68,1,1,7,2,0.46,7,0.11,3,1
0.01,3,6,5,2,0.28,16,0.42,0,1
308.85,3,1,1,1,1.41,14,0.98,3,1
193.26,1,7,3,1,0.07,19,0.32,1,1
122.58,1,5,6,0,-1.05,17,0.22,0,1
25.5,2,3,6,3,0.21,3,0.67,3,1
258.68,3,7,3,1,0.69,6,0.17,3,1
110.97,1,1,7,0,-0.64,18,0.27,2,1
0.01,0,5,2,3,1.51,6,0.73,2,1
78.47,3,3,1,1,-1.6,16,0.34,0,1
1.12,1,7,6,2,1.86,17,0.79,1,1
16.4,2,4,1,3,-1.05,2,0.39,1,1
15.77,2,4,7,1,1.11,5,0.7,3,1
27.05,2,2,6,0,-0.81,3,0.51,0,1
653.95,3,1,1,1,0.42,17,0.35,2,1
280.15,3,4,5,0,-0.65,13,0.52,0,1
201.56,1,6,2,1,0.87,15,0.08,1,1
2.2,1,0,6,3,-0.73,15,0.13,1,1
28.78,1,6,2,0,0.56,12,0.3,3,1
8.37,1,5,5,0,0.14,6,0.82,0,1
19.37,2,3,7,2,0.96,5,0.76,1,1
4.87,1,2,0,2,-1.63,18,0.05,3,1
762.97,0,6,0,1,0.0,1,0.12,0,0
26.33,2,2,3,2,-1.18,11,0.44,2,1
26.02,2,0,6,0,1.4,6,0.06,2,1
21.12,2,1,1,1,2.03,7,0.24,2,1
1495.09,0,3,3,2,0.17,18,0.96,0,0
185.5,3,4,6,3,-0.1,18,0.45,1,1
5.06,2,2,7,3,1.57,19,0.07,3,1
13.32,2,4,5,2,0.46,8,0.66,3,1
135.02,0,3,3,1,-1.82,16,0.76,0,1
74.25,2,2,6,1,1.1,15,0.37,2,1
110.39,3,6,5,3,2.6,2,0.28,0,1
728.36,3,7,6,1,-0.33,3,0.13,0,1
1383.65,0,2,3,0,0.57,4,0.68,1,0
33.29,2,5,1,3,-0.85,3,0.88,3,1
348.05,0,5,4,2,-1.17,11,0.84,2,0
347.73,3,6,4,1,-0.77,19,0.12,1,1
1024.26,0,1,1,1,-0.56,10,0.85,2,0
706.02,0,4,3,2,-1.15,19,0.19,3,0
11.5,1,3,6,3,0.1,10,0.58,0,1
744.49,0,0,3,3,-0.34,14,0.34,2,0
13.1,2,4,5,2,0.58,2,0.5,3,1
17.16,2,2,0,2,0.94,1,0.36,0,1
18.72,2,5,3,3,-0.15,9,0.72,0,1
307.55,3,2,2,0,0.69,10,0.46,0,1
352.26,3,2,7,0,0.74,2,0.76,1,1
131.49,1,7,2,2,-0.11,6,0.51,2,1
160.02,1,3,5,2,0.56,15,0.86,2,1
1113.95,0,0,2,0,2.05,17,0.35,1,0
41.28,1,4,5,2,0.31,3,0.36,2,1
472.88,3,4,0,0,0.66,10,0.75,3,1
48.15,1,2,3,2,0.48,7,0.47,0,1
15.51,1,7,4,2,-0.54,12,0.14,2,1
77.93,1,1,7,1,0.51,11,0.57,2,1
31.12,2,3,5,1,-0.27,4,0.67,0,1
74.91,3,1,2,2,-0.1,11,0.86,2,1
173.94,1,7,6,3,0.11,14,0.82,3,1
1280.28,0,0,4,1,-0.6,11,0.91,1,0
25.16,2,2,6,2,-0.46,6,0.9,0,1
48.42,2,1,2,3,-1.44,4,1.0,1,1
74.11,1,5,2,2,0.9,11,0.75,1,1
53.85,1,3,4,1,-0.71,15,0.14,2,1
25.25,1,0,2,1,-0.22,5,0.44,3,1
1608.45,0,2,5,2,-0.26,13,0.77,2,0
268.03,3,6,0,1,-0.18,6,0.04,0,1
787.31,3,7,2,0,0.47,11,0.01,3,1
0.01,3,2,5,2,0.9,18,0.79,2,1
406.72,3,4,4,1,2.19,15,0.38,3,1
434.88,3,6,3,3,0.24,16,0.3,3,1
14.34,2,0,5,0,-2.73,10,0.75,2,1
413.67,3,2,7,3,-0.36,1,0.06,1,1
902.47,3,7,2,2,-0.6,8,0.42,1,1
154.71,1,2,6,2,1.48,14,0.51,1,1
238.09,3,0,5,2,-0.28,18,0.61,1,1
35.29,2,3,1,2,0.77,12,0.38,1,1
252.78,1,1,7,2,-0.48,14,0.74,3,1
13.08,1,0,5,3,-1.37,1,0.12,0,1
41.64,1,1,5,2,-0.17,3,0.11,3,1
62.15,1,5,2,1,-1.66,17,0.42,1,1
147.64,3,6,4,3,0.51,7,0.26,0,1
1156.6,0,4,3,3,1.59,16,0.67,1,0
650.37,0,2,5,2,0.06,11,0.37,1,0
